case_id,activity,timestamp,assigned_teams,products,locations,urgency
case_PO_001,Order Created,2024-01-22 09:00:00+00:00,Sales,Laptop,Berlin,high
case_PO_001,Order Created,2024-01-22 09:00:00+00:00,Sales,Monitor,Berlin,high
case_PO_001,Order Created,2024-01-22 09:00:00+00:00,Sales,Keyboard,Berlin,high
case_PO_001,Order Created,2024-01-22 09:00:00+00:00,Support,Laptop,Berlin,high
case_PO_001,Order Created,2024-01-22 09:00:00+00:00,Support,Monitor,Berlin,high
case_PO_001,Order Created,2024-01-22 09:00:00+00:00,Support,Keyboard,Berlin,high
case_PO_001,Items Verified,2024-01-22 10:00:00+00:00,Warehouse,Laptop,Berlin,high
case_PO_001,Items Verified,2024-01-22 10:00:00+00:00,Warehouse,Laptop,Hamburg,high
case_PO_001,Items Verified,2024-01-22 10:00:00+00:00,Warehouse,Monitor,Berlin,high
case_PO_001,Items Verified,2024-01-22 10:00:00+00:00,Warehouse,Monitor,Hamburg,high
case_PO_001,Items Verified,2024-01-22 10:00:00+00:00,Warehouse,Keyboard,Berlin,high
case_PO_001,Items Verified,2024-01-22 10:00:00+00:00,Warehouse,Keyboard,Hamburg,high
case_PO_002,Order Created,2024-01-22 10:30:00+00:00,Sales,Printer,Frankfurt,low
case_PO_002,Items Verified,2024-01-22 11:00:00+00:00,Warehouse,Printer,Frankfurt,low
case_PO_001,Payment Confirmed,2024-01-22 11:30:00+00:00,Finance,Laptop,Berlin,high
case_PO_001,Payment Confirmed,2024-01-22 11:30:00+00:00,Finance,Monitor,Berlin,high
case_PO_001,Payment Confirmed,2024-01-22 11:30:00+00:00,Finance,Keyboard,Berlin,high
case_PO_002,Order Cancelled,2024-01-22 12:00:00+00:00,Sales,Printer,Frankfurt,low
case_PO_002,Order Cancelled,2024-01-22 12:00:00+00:00,Support,Printer,Frankfurt,low
case_PO_001,Items Packed,2024-01-22 14:00:00+00:00,Warehouse,Laptop,Hamburg,medium
case_PO_001,Items Packed,2024-01-22 14:00:00+00:00,Warehouse,Monitor,Hamburg,medium
case_PO_001,Items Packed,2024-01-22 14:00:00+00:00,Warehouse,Keyboard,Hamburg,medium
case_PO_001,Items Packed,2024-01-22 14:00:00+00:00,Logistics,Laptop,Hamburg,medium
case_PO_001,Items Packed,2024-01-22 14:00:00+00:00,Logistics,Monitor,Hamburg,medium
case_PO_001,Items Packed,2024-01-22 14:00:00+00:00,Logistics,Keyboard,Hamburg,medium
case_PO_001,Shipment Ready,2024-01-22 16:00:00+00:00,Logistics,Laptop,Hamburg,medium
case_PO_001,Shipment Ready,2024-01-22 16:00:00+00:00,Logistics,Laptop,Munich,medium
case_PO_001,Shipment Ready,2024-01-22 16:00:00+00:00,Logistics,Monitor,Hamburg,medium
case_PO_001,Shipment Ready,2024-01-22 16:00:00+00:00,Logistics,Monitor,Munich,medium
case_PO_001,Shipment Ready,2024-01-22 16:00:00+00:00,Logistics,Keyboard,Hamburg,medium
case_PO_001,Shipment Ready,2024-01-22 16:00:00+00:00,Logistics,Keyboard,Munich,medium
case_PO_003,Order Created,2024-01-23 08:00:00+00:00,Sales,Server,Munich,urgent
case_PO_003,Order Created,2024-01-23 08:00:00+00:00,Sales,Router,Munich,urgent
case_PO_003,Order Created,2024-01-23 08:00:00+00:00,Sales,Switch,Munich,urgent
case_PO_003,Items Verified,2024-01-23 08:30:00+00:00,Warehouse,Server,Munich,urgent
case_PO_003,Items Verified,2024-01-23 08:30:00+00:00,Warehouse,Server,Stuttgart,urgent
case_PO_003,Items Verified,2024-01-23 08:30:00+00:00,Warehouse,Router,Munich,urgent
case_PO_003,Items Verified,2024-01-23 08:30:00+00:00,Warehouse,Router,Stuttgart,urgent
case_PO_003,Items Verified,2024-01-23 08:30:00+00:00,Warehouse,Switch,Munich,urgent
case_PO_003,Items Verified,2024-01-23 08:30:00+00:00,Warehouse,Switch,Stuttgart,urgent
